Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
13,35523,1,274.5286,1,19,297,48,4,2,2,2,23,2,50010,2,2,2,5,1,,52,47,2,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,47,1,,,,,,
3,36996,2,172.7752,1,19,51,14,6,5,3,2,9,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14516,1,304.2255,1,19,37,8,3,3,3,2,10,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,32612,1,535.3466,1,19,287,46,6,6,6,1,15,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
16,604,1,132.5765,1,19,173,9,3,2,2,2,56,2,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,96,1,84,3,,,,,,
17,25908,2,266.5844,1,19,82,1,5,5,3,1,14,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,28097,2,467.3818,1,19,565,45,4,3,3,1,10,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12078,2,419.0571,1,19,540,45,3,1,1,2,78,2,10010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,1,3,2,2,1,92,2,,3,,,,,,
3,29573,1,798.761,1,19,938,48,10,9,6,1,21,1,24010,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,1,3,2,2,2,,,,3,,,,,,
3,23210,1,276.5055,1,19,150,6,6,4,4,2,34,4,60010,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11464,2,408.03,1,19,51,47,4,3,8,1,26,2,24010,,2,2,5,1,,61,1,1,2,14,2,2,2,3,,,1,1,70,11,,,,,,,,,,,1,1,1,,,,,,
2,3468,2,29.7462,1,19,20,4,5,5,4,2,14,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17627,1,500.1048,1,19,367,47,8,4,6,1,35,2,24020,,2,2,5,1,,54,84,1,8,40,2,2,2,2,4,272,2,,40,,,,,,,,,,,,1,84,1,,,,,,
13,35109,1,934.1714,1,19,458,46,8,3,3,2,38,1,24020,,2,2,5,1,,42,82,2,8,48,2,2,2,1,4,818,2,,48,,,,,,,,,,,,1,82,1,,,,,,
7,4761,2,830.1822,1,19,154,46,4,4,3,2,20,1,60010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
10,5080,1,1000.6107,1,19,1066,46,7,4,3,2,16,1,24010,1,2,1,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
10,18227,1,400.3805,1,19,392,46,8,8,3,2,7,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9161,1,1271.35,1,19,1378,47,4,4,3,1,6,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2250,2,302.8425,1,19,208,47,3,2,2,2,60,2,10010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,,,,,,
11,10539,1,372.9736,1,19,267,47,4,2,2,1,39,2,60314,,2,2,5,1,,33,84,1,8,48,2,2,2,2,3,654,2,,48,,,,,,,,,,,,1,84,1,,,,,,
13,35805,1,582.4983,1,19,571,45,4,1,1,1,39,4,24020,,2,2,5,1,,93,41,1,8,48,2,2,2,1,3,512,2,,48,,,,,,,,,,,,1,41,1,,,,,,
5,17507,2,463.8546,1,19,121,47,7,2,2,2,35,2,24020,,2,2,5,1,,52,47,1,4,16,2,2,2,3,,,2,,16,20,,,,,,,,,,,1,47,1,,,,,,
13,36191,1,257.1617,1,19,369,46,11,7,11,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23232,1,361.262,1,19,298,4,4,2,2,2,31,2,60010,,1,2,5,1,,14,47,1,10,50,2,2,2,3,,,2,,50,11,,,,,,,,,,,1,47,1,,,,,,
10,14460,1,211.8506,1,19,193,8,7,1,1,1,61,2,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,1,2,6,2,,,1,1,1,95,1,10,2,,,,,,
8,15898,1,1138.5234,1,19,823,45,10,10,9,2,17,1,34011,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
5,1927,2,1044.5119,1,19,759,48,5,3,3,1,15,1,10020,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
1,11564,2,310.0403,1,19,267,45,5,3,5,1,35,2,60719,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9149,2,1302.2755,1,19,429,46,10,9,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20717,2,355.2772,1,19,333,45,2,2,6,1,20,1,34011,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
10,5019,1,951.1944,1,19,140,45,9,2,2,2,30,2,24010,,1,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,51,2,,3,,,,,,
11,10605,1,357.5474,1,19,277,45,14,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39529,2,157.0551,1,19,11,22,3,3,2,1,31,2,50010,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,32802,1,1817.911,1,19,1570,47,3,1,1,1,59,2,24020,,2,2,5,1,,42,79,1,8,56,2,2,2,1,4,308,2,,56,12,,,,,,,,,,,1,79,1,,,,,,
16,1407,1,583.7662,1,19,73,48,7,5,8,2,15,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
16,1467,1,440.1158,1,19,50,47,5,4,3,1,14,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,33773,1,174.081,1,19,158,47,3,1,1,1,45,2,24010,,2,2,5,1,,13,49,1,11,55,2,2,2,3,,,2,,55,11,,,,,,,,,,,2,,1,,,,,,
10,18378,1,400.1304,1,19,10,48,6,1,1,1,54,2,24010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,3,,2,2,1,83,2,,3,,,,,,
12,39729,1,202.8273,1,19,45,23,3,3,3,2,17,1,24020,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
1,11908,2,359.5852,1,19,42,47,4,2,2,2,65,2,60111,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,23,2,,3,,,,,,
12,28089,2,464.5143,1,19,448,45,8,5,3,1,10,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38218,2,149.5993,1,19,28,12,5,3,3,2,16,1,35001,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
13,34942,1,562.1699,1,19,92,46,4,2,8,2,39,2,60613,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,25,2,,3,,,,,,
14,38225,2,99.6806,1,19,28,12,7,7,2,2,46,2,10020,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7526,2,185.4964,1,19,178,2,8,3,3,1,45,2,60010,,2,2,5,1,,96,93,2,11,22,2,2,2,1,3,350,2,,22,20,,,,,,,,,,,1,93,1,,,,,,
12,37895,2,321.3954,1,19,430,48,5,4,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29543,2,952.9392,1,19,677,45,4,2,3,1,7,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25639,2,163.5141,1,19,198,2,2,1,1,2,59,2,10020,,2,2,5,1,,92,1,2,8,48,2,1,2,1,3,200,1,1,48,,,,,,,,,,,,1,1,1,,,,,,
11,10255,2,580.4327,1,19,432,45,7,5,3,2,27,2,51013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,,,,,,
17,22830,1,229.9506,1,19,29,16,1,1,1,1,40,4,35002,,1,2,5,1,,74,43,1,8,48,2,2,2,1,5,500,2,,48,,,,,,,,,,,,2,,1,,,,,,
4,24334,2,1187.4863,1,19,1372,46,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15589,2,550.9628,1,19,256,45,3,3,3,2,11,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4991,2,1210.4654,1,19,306,46,5,3,3,1,25,2,24020,,2,2,5,1,,93,41,1,8,48,2,2,2,1,3,365,2,,48,,,,,,,,,,,,1,41,1,,,,,,
10,18224,1,400.3805,1,19,392,46,5,4,6,2,12,1,10020,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15469,2,397.2587,1,19,163,47,7,4,3,2,5,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19288,1,403.5921,1,19,390,45,7,6,3,2,34,3,60612,,2,2,5,1,,41,63,1,8,48,2,2,2,1,4,355,2,,48,,,,,,,,,,,,1,63,1,,,,,,
6,19855,1,1704.4985,1,19,94,48,12,6,6,1,12,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9939,2,1077.7573,1,19,610,46,4,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2154,2,872.8013,1,19,276,46,5,5,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,38504,2,643.6696,1,19,67,48,5,2,2,2,61,2,24010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,,,,,,
2,3476,2,57.5279,1,19,14,3,2,2,3,1,44,1,60719,,2,2,5,1,,21,84,1,8,40,1,1,2,2,4,1454,1,1,56,11,,,,,,,,,,,1,84,1,,,,,,
5,6052,1,460.4462,1,19,254,45,5,5,3,2,8,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37628,1,338.0444,1,19,1,48,3,3,3,2,14,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7548,1,1719.1785,1,19,1304,46,4,3,3,2,10,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,864,2,176.0761,1,19,19,48,6,2,3,2,36,2,60010,,2,2,5,1,,14,47,2,1,2,2,2,2,3,,,2,,2,20,,,,,,,,,,,2,,1,,,,,,
13,16999,1,915.6528,1,19,1262,45,8,7,3,1,21,2,50010,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,2,1,1,1,2,,,,2,,,,,,
3,23548,1,364.3386,1,19,88,4,7,6,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18446,1,334.2306,1,19,355,47,5,5,6,2,13,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25161,2,107.4944,1,19,82,15,4,1,1,2,75,3,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,92,2,,3,,,,,,
8,20718,2,327.7934,1,19,333,45,7,5,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28274,2,689.2458,1,19,159,46,8,6,5,2,31,2,10010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,,,,,,
7,26394,2,188.6776,1,19,53,11,7,4,3,2,8,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4324,1,290.2515,1,19,421,46,8,4,3,1,17,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
2,25007,2,150.481,1,19,48,16,5,4,3,1,13,1,24010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21897,1,324.7864,1,19,360,45,7,2,2,2,40,2,10010,,2,2,5,1,,92,1,2,8,56,2,2,2,1,3,230,2,,56,11,,,,,,,,,,,1,1,1,,,,,,
16,29262,2,268.6187,1,19,140,46,4,1,1,1,71,2,10010,,2,2,5,1,,61,1,1,8,48,2,2,2,4,,,2,,48,,,,,,,,,,,,2,,1,,,,,,
15,15454,2,406.5762,1,19,343,47,5,4,3,2,7,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,37273,2,107.0862,1,19,153,19,5,2,3,1,42,4,10010,,2,2,5,1,,54,80,1,10,70,2,2,2,1,3,300,2,,70,12,,,,,,,,,,,1,80,1,,,,,,
13,33891,1,151.7975,1,19,213,46,7,3,3,1,17,1,34011,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
3,3836,,2364.4944,1,2020,296,70,3,2,2,2,47,2,10015,,2,2,5,1,,91,96,2,9,9,1,1,2,0,3,350,2,,9,23,,,,,,,,,,,1,96,1,1,,,,,
17,39655,,262.1507,1,2020,281,7,4,1,1,1,58,2,10012,,2,2,5,1,,61,1,1,8,56,2,2,2,4,,,2,,56,12,,,,,,,,,,,1,1,1,2,,,,,
8,17851,,333.9357,1,2020,97,71,4,3,3,1,16,1,24013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
17,41224,,257.0407,1,2020,54,27,6,6,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
12,25482,,373.3965,1,2020,159,2,4,2,2,2,51,2,50001,,2,2,5,1,,52,47,1,8,56,2,2,2,1,3,200,2,,56,11,,,,,,,,,,,1,47,1,1,,,,,
9,19565,,412.0661,1,2020,427,70,4,3,8,2,13,1,10016,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
7,13892,,1423.1339,1,2020,1920,69,3,2,7,2,88,3,10018,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,61,2,,3,2,,,,,
2,2122,,1040.216,1,2020,1125,70,4,2,2,2,54,2,60413,,2,2,5,1,,52,47,1,14,90,2,2,2,3,,,2,,90,11,,,,,,,,,,,1,47,1,1,,,,,
11,22563,,644.299,1,2020,780,72,4,4,3,1,27,1,60111,,2,2,5,1,,23,84,1,8,40,2,2,2,2,4,1000,2,,40,,,,,,,,,,,,1,84,1,2,,,,,
2,2653,,288.5276,1,2020,345,71,4,1,1,1,37,2,24012,,2,2,5,1,,13,49,1,9,54,2,2,2,3,,,2,,54,11,,,,,,,,,,,1,49,1,2,,,,,
3,3520,,579.7963,1,2020,400,71,5,1,1,1,38,2,60612,,2,2,5,1,,13,61,1,13,91,1,2,2,3,,,1,1,103,11,,,,,,,,,,,1,77,1,2,,,,,
3,6386,,122.8868,1,2020,22,2,11,3,3,2,23,1,61013,2,2,2,5,2,2,,,,,,,,,,,,,,,,1,1,3,4,,,1,1,2,,,,2,2,,,,,
4,6645,,1988.5888,1,2020,1642,69,4,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,30299,,408.0297,1,2020,178,71,13,7,3,2,39,2,60411,,2,2,5,1,,43,13,1,8,48,2,2,2,1,4,550,2,,48,,,,,,,,,,,,1,13,1,1,,,,,
13,27146,,1030.6042,1,2020,610,70,7,5,3,1,6,1,1000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
14,35151,,108.3389,1,2020,80,19,6,5,8,2,16,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,1,92,2,,3,2,,,,,
8,18285,,149.8803,1,2020,106,20,7,7,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,7358,,1793.0418,1,2020,2439,70,4,1,1,1,43,2,24015,,2,2,5,1,,26,94,1,3,21,2,2,2,1,3,300,2,,21,20,,,,,,,,,,,1,94,1,1,,,,,
1,1502,,2064.0098,1,2020,286,72,7,2,2,2,38,2,24015,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6,12740,,467.8682,1,2020,64,10,4,4,6,2,15,1,24012,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
5,10138,,601.4245,1,2020,498,69,5,3,3,1,13,1,10016,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,1781,,616.0537,1,2020,169,72,2,1,1,1,58,3,10018,,2,2,5,1,,92,1,3,8,24,2,2,2,1,5,,2,,24,20,,,,,,,,,,,1,1,1,2,,,,,
5,8699,,749.5237,1,2020,783,71,2,1,1,1,51,2,10018,,2,2,5,1,,83,42,1,8,48,1,1,2,1,4,500,2,,48,,,,,,,,,,,,1,42,1,2,,,,,
3,4386,,454.0685,1,2020,157,29,14,3,3,2,35,1,24015,,2,2,5,1,,51,96,1,4,20,1,1,2,3,,,2,,20,20,,,,,,,,,,,1,96,1,1,,,,,
13,28277,,787.8157,1,2020,622,69,6,3,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
9,18870,,419.4539,1,2020,72,69,8,8,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10,22502,,450.5874,1,2020,400,70,5,5,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
13,27868,,275.2259,1,2020,215,23,4,4,3,1,20,1,60001,1,2,2,5,1,,51,56,2,6,6,2,2,1,1,3,537,2,,6,28,,,,,,,,,,,1,56,1,1,,,,,
1,1088,,646.0716,1,2020,17,70,9,7,3,1,30,2,60714,,2,2,5,1,,35,61,1,8,48,2,2,2,1,4,462,2,,48,,,,,,,,,,,,1,61,1,2,,,,,
13,32527,,293.699,1,2020,296,17,3,3,3,1,17,1,34011,1,2,2,4,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
8,17061,,405.1866,1,2020,84,72,8,7,3,1,5,1,0,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
7,14341,,785.1926,1,2020,513,70,6,4,3,1,9,1,10013,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6,10966,,316.9102,1,2020,238,70,10,9,8,1,11,1,10014,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,20749,,248.4622,1,2020,297,31,4,1,1,1,28,2,40003,,2,2,5,1,,71,41,1,8,48,2,2,2,1,3,450,2,,48,,,,,,,,,,,,1,20,1,1,,,,,
3,3391,,454.7048,1,2020,418,72,8,6,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
15,35477,,159.9731,1,2020,98,35,3,2,2,2,50,2,10012,,2,2,5,1,,13,10,1,8,48,2,2,2,3,,,2,,48,,,,,,,,,,,,1,10,1,2,,,,,
15,35964,,606.7762,1,2020,239,9,6,6,3,2,20,1,60001,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,1,14,2,,3,2,,,,,
5,10042,,518.8997,1,2020,81,71,9,9,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
9,19900,,192.0415,1,2020,72,24,6,4,3,1,20,1,24012,1,2,2,5,1,,92,1,1,8,40,2,2,2,1,7,,2,,40,,,,,,,,,,,,1,1,1,2,,,,,
16,37516,,200.3334,1,2020,13,35,3,3,8,2,22,1,60002,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,1,94,2,,3,1,,,,,
17,40881,,618.9214,1,2020,613,72,7,2,2,2,29,2,10018,,2,2,5,1,,92,1,2,8,24,1,1,2,6,,,2,,24,30,,,,,,,,,,,1,1,1,2,,,,,
13,31811,,358.5375,1,2020,223,69,3,3,4,2,45,1,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,52,2,,3,1,,,,,
1,747,,484.0762,1,2020,153,70,11,7,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
1,1244,,1733.9491,1,2020,4,70,5,1,1,2,52,3,10012,,2,2,5,2,2,,,,,,,,,,,,,,,,1,2,4,2,,,1,1,1,91,1,96,2,1,,,,,
15,36907,,308.3915,1,2020,67,20,11,11,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,22250,,593.8298,1,2020,334,69,8,2,2,2,36,2,24011,,2,2,5,1,,61,1,2,3,21,2,2,2,3,,,2,,21,20,,,,,,,,,,,1,1,1,2,,,,,
7,15278,,1599.5697,1,2020,224,69,3,1,1,1,44,2,24013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,72,2,,3,1,,,,,
14,34960,,144.9595,1,2020,122,21,5,2,8,2,34,2,40723,,1,2,5,1,,34,84,1,4,25,1,1,2,2,7,,1,1,43,,,,,,,,,,,,1,84,1,2,,,,,
14,33566,,182.5259,1,2020,13,24,12,10,3,2,37,1,61013,,2,2,5,1,,51,55,1,8,48,2,2,2,1,4,350,2,,48,,,,,,,,,,,,1,55,1,1,,,,,
14,33513,,389.534,1,2020,83,27,4,4,3,1,20,1,60002,1,2,2,5,1,,52,47,2,2,12,2,2,2,6,,,2,,12,20,,,,,,,,,,,1,47,1,1,,,,,
13,30189,,210.4566,1,2020,103,5,8,8,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
15,36503,,731.8416,1,2020,474,72,6,4,3,1,8,1,10011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,8097,,1129.7011,1,2020,1180,69,3,1,1,2,76,3,60111,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,23,2,,3,1,,,,,
16,38359,,263.4764,1,2020,317,70,8,5,3,1,18,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
2,2774,,351.4744,1,2020,13,72,9,3,3,2,31,1,61013,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10,21563,,420.286,1,2020,326,71,6,3,4,2,66,1,10018,,2,2,5,1,,52,47,1,6,42,2,2,2,3,,,2,,42,,,,,,,,,,,,1,47,1,1,,,,,
8,16903,,346.4459,1,2020,462,71,5,2,3,2,15,1,24013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
13,31887,,357.8785,1,2020,295,69,5,2,2,2,51,2,60111,,2,2,5,1,,12,30,1,8,48,2,2,2,1,4,986,2,,48,,,,,,,,,,,,1,30,1,1,,,,,
14,35053,,163.0457,1,2020,4,20,6,5,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2,2389,,1058.4826,1,2020,625,70,4,2,2,2,54,2,24015,,2,2,5,1,,53,84,1,8,16,2,2,2,2,7,,2,,16,20,,,,,,,,,,,1,84,1,2,,,,,
9,18914,,382.0862,1,2020,543,69,4,2,2,2,46,2,60002,,2,2,5,1,,52,47,1,9,63,2,2,2,3,,,2,,63,14,,,,,,,,,,,1,47,1,1,,,,,
14,34510,,110.8175,1,2020,70,12,6,2,2,2,65,2,60002,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,92,2,,3,2,,,,,
8,17266,,572.4948,1,2020,606,69,4,4,3,2,14,1,24011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
9,18477,,587.8016,1,2020,303,72,8,7,6,2,7,1,10011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,32342,,246.212,1,2020,332,16,5,5,8,2,36,1,24015,,2,2,5,1,,93,20,1,8,48,2,2,2,1,3,537,2,,48,,,,,,,,,,,,1,20,1,1,,,,,
13,27559,,296.9783,1,2020,19,28,8,1,1,1,47,2,24015,,2,2,5,1,,71,41,1,8,56,2,2,2,1,3,800,2,,56,12,,,,,,,,,,,1,41,1,1,,,,,
3,3462,,393.3216,1,2020,519,72,4,2,2,2,42,2,24015,,2,2,5,1,,52,47,1,5,35,2,2,2,3,,,2,,35,20,,,,,,,,,,,1,47,1,1,,,,,
14,34719,,120.9509,1,2020,130,12,6,4,3,2,15,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
13,27622,,351.4706,1,2020,317,27,5,2,6,1,30,1,60414,,2,2,5,1,,24,61,1,8,40,2,2,2,1,4,650,2,,40,,,,,,,,,,,,1,61,1,1,,,,,
15,36653,,346.6228,1,2020,293,32,6,2,2,2,49,2,10016,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,1,,,,,
11,23978,,338.6692,1,2020,379,71,6,6,3,1,5,1,1000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
13,31002,,372.4859,1,2020,22,8,5,3,3,1,17,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
4,8142,,1042.938,1,2020,846,71,5,4,3,1,11,1,10015,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10,21644,,340.9696,1,2020,251,69,2,1,1,2,95,3,0,,2,2,5,1,,61,1,1,2,10,2,2,2,4,,,2,,10,31,,,,,,,,,,,1,1,1,2,,,,,
17,40095,,559.0052,1,2020,502,71,6,4,5,1,38,2,60111,,2,2,5,1,,23,85,1,8,40,2,2,2,2,4,1075,2,,40,,,,,,,,,,,,1,85,1,2,,,,,
7,14084,,1314.8272,1,2020,534,72,6,5,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
