Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
2020,2,38,2,1,,,
2020,2,15,2,2,,,
2020,1,13,2,2,,,
2020,1,58,1,1,92,1,1
2020,1,51,1,1,83,42,1
2020,2,35,1,1,51,96,3
2020,1,4,2,1,,,
2020,1,1,2,1,,,
2020,2,2,2,1,,,
2020,1,20,1,1,51,56,1
2020,1,30,1,1,35,61,1
2020,1,17,2,2,,,
2020,1,5,2,2,,,
2020,1,9,2,2,,,
2020,1,11,2,2,,,
2020,1,28,1,1,71,41,1
2020,2,0,2,1,,,
2020,2,50,1,1,13,10,3
2020,2,20,2,2,,,
2020,2,4,2,1,,,
2020,1,20,1,1,92,1,1
2020,2,22,2,2,,,
2020,2,29,1,1,92,1,6
2020,2,45,2,2,,,
2020,2,3,2,1,,,
2020,2,52,2,2,,,
2020,2,2,2,1,,,
2020,2,36,1,1,61,1,3
2020,1,44,2,2,,,
2020,2,34,1,1,34,84,2
2020,2,37,1,1,51,55,1
2020,1,20,1,1,52,47,6
2020,1,1,2,1,,,
2020,1,8,2,2,,,
2020,2,76,2,2,,,
2020,1,18,2,2,,,
2020,2,31,2,1,,,
2020,2,66,1,1,52,47,3
2020,2,15,2,2,,,
2020,2,51,1,1,12,30,1
2020,1,0,2,1,,,
2020,2,54,1,1,53,84,2
2020,2,46,1,1,52,47,3
2020,2,65,2,2,,,
2020,2,14,2,2,,,
2020,2,7,2,2,,,
2020,2,36,1,1,93,20,1
2020,1,47,1,1,71,41,1
2020,2,42,1,1,52,47,3
2020,2,15,2,2,,,
2020,1,30,1,1,24,61,1
2020,2,49,2,2,,,
2020,1,5,2,2,,,
2020,1,17,2,2,,,
2020,1,11,2,2,,,
2020,2,95,1,1,61,1,4
2020,1,38,1,1,23,85,2
2020,1,4,2,1,,,
2020,1,34,1,1,33,41,1
2020,1,44,1,1,62,3,3
2020,2,73,1,1,93,47,1
2020,2,84,2,2,,,
2020,1,44,2,2,,,
2020,2,57,2,2,,,
2020,2,67,1,1,11,84,2
