Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
2023,2,16,2,2,,,
2023,2,76,1,1,96,38,1
2023,1,0,2,1,,,
2023,1,68,1,1,11,84,2
2023,1,28,1,1,52,47,1
2023,1,7,2,2,,,
2023,2,57,1,1,61,1,3
2023,1,11,2,2,,,
2023,1,10,2,2,,,
2023,1,58,1,1,61,1,3
2023,2,52,1,1,52,35,2
2023,2,7,2,2,,,
2023,2,16,2,2,,,
2023,2,52,1,1,92,1,6
2023,2,0,2,1,,,
2023,2,38,1,1,23,85,1
2023,1,70,2,2,,,
2023,1,48,1,1,83,52,1
2023,1,37,1,1,92,1,1
2023,1,23,1,1,52,47,1
2023,1,0,2,1,,,
2023,2,7,2,2,,,
2023,2,73,2,2,,,
2023,2,22,2,2,,,
2023,1,20,2,2,,,
2023,2,50,1,1,61,1,3
2023,2,25,1,1,42,64,1
2023,2,2,2,1,,,
2023,2,32,2,2,,,
2023,2,50,1,1,23,85,2
2023,2,18,2,2,,,
2023,1,12,1,1,92,1,
2023,2,23,1,1,51,56,1
2023,2,15,2,2,,,
2023,2,25,1,1,52,47,3
2023,1,29,1,1,93,42,1
2023,2,10,2,2,,,
2023,1,8,2,2,,,
2023,2,71,2,2,,,
2023,1,65,2,2,,,
2023,2,31,1,1,93,47,6
2023,2,11,2,2,,,
2023,2,14,2,2,,,
2023,2,63,2,2,,,
2023,2,33,2,2,,,
2023,1,11,2,2,,,
2023,1,23,1,1,61,1,3
2023,2,33,1,1,93,47,6
2023,1,71,2,2,,,
2023,1,38,1,1,71,41,1
2023,1,15,2,2,,,
2023,1,23,2,2,,,
2023,2,52,2,1,,,
2023,2,38,1,1,52,47,3
2023,2,47,1,1,92,1,6
2023,2,48,2,2,,,
2023,2,2,2,1,,,
2023,2,67,1,1,73,16,1
2023,2,46,1,1,42,82,1
2023,1,44,1,1,83,49,3
2023,1,48,1,1,62,3,3
2023,2,12,2,2,,,
2023,1,36,1,1,51,96,0
2023,2,30,1,1,93,10,6
2023,1,18,2,2,,,
2023,2,14,2,2,,,
2023,2,42,2,2,,,
2023,2,0,2,1,,,
2023,2,17,2,2,,,
2023,1,11,2,2,,,
2023,2,22,1,1,51,93,1
2023,1,43,2,1,,,
2023,2,55,1,1,24,84,2
2023,1,12,2,2,,,
2023,2,34,1,1,91,96,0
2023,2,32,1,1,93,47,6
2023,2,4,2,1,,,
2023,2,28,1,1,91,96,0
2023,2,55,1,1,92,1,6
2023,1,54,1,1,83,49,1
2023,1,40,1,1,71,41,1
2023,1,43,1,1,61,1,3
2023,2,16,2,2,,,
2023,1,42,2,2,,,
2023,1,63,1,1,83,49,3
2023,2,30,2,2,,,
2023,1,56,1,1,73,31,1
2023,2,45,1,1,92,1,1
2023,1,23,1,1,35,82,1
2023,1,2,2,1,,,
2023,2,10,2,2,,,
2023,2,61,1,1,41,84,2
2023,2,43,1,1,91,96,0
2023,2,62,1,1,11,84,2
2023,2,24,1,1,41,78,1
